"Curs";"Nom ensenyament";"Nivell";"Nom comarca";"Nombre grups";"Nombre places";"Places ofertades a la preinscripció";"Assignacions";"Assignacions: 1a peticio";"Assignacions: Altres peticions";"Places vacants";"Places ocupades";"Nombre centres";"any";"edat";"dones";"homes";"total"
"2017/2018";"Educació infantil: Parvulari";"1";"Alt Camp";21;582;582;391;389;2;191;391;27;2016;2;250;211;461
"2017/2018";"Educació infantil: Parvulari";"1";"Alt Empordà";69;1527;1527;1282;1208;74;247;1282;68;2016;2;705;765;1470
"2017/2018";"Educació infantil: Parvulari";"1";"Alt Penedès";54;1211;1208;1062;1009;53;147;1065;47;2016;2;576;611;1187
"2017/2018";"Educació infantil: Parvulari";"1";"Alt Urgell";6;190;188;156;150;6;33;158;12;2016;2;81;91;172
"2017/2018";"Educació infantil: Parvulari";"1";"Alta Ribagorça";2;38;36;23;23;0;13;25;3;2016;2;18;24;42
"2017/2018";"Educació infantil: Parvulari";"1";"Anoia";60;1501;1501;1102;1064;38;401;1102;47;2016;2;651;680;1331
"2017/2018";"Educació infantil: Parvulari";"1";"Aran";6;128;128;98;94;4;30;98;7;2016;2;46;42;88
"2017/2018";"Educació infantil: Parvulari";"1";"Bages";81;2027;2027;1664;1603;61;363;1664;62;2016;2;886;965;1851
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Camp";88;2219;2217;1889;1801;88;329;1891;61;2016;2;996;1044;2040
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Ebre";34;900;900;658;644;14;242;658;32;2016;2;362;386;748
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Empordà";63;1359;1358;1124;1042;82;240;1125;44;2016;2;644;700;1344
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Llobregat";333;8247;8239;7634;7063;571;610;7642;211;2016;2;4126;4269;8395
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Penedès";44;1101;1100;912;875;37;188;913;29;2016;2;513;575;1088
"2017/2018";"Educació infantil: Parvulari";"1";"Barcelonès";818;20145;20123;18183;16747;1436;1947;18205;483;2016;2;9428;9901;19329
"2017/2018";"Educació infantil: Parvulari";"1";"Berguedà";17;444;444;296;290;6;148;296;23;2016;2;163;161;324
"2017/2018";"Educació infantil: Parvulari";"1";"Cerdanya";8;192;192;137;127;10;56;137;13;2016;2;74;78;152
"2017/2018";"Educació infantil: Parvulari";"1";"Conca de Barberà";9;265;265;171;170;1;94;171;14;2016;2;81;106;187
"2017/2018";"Educació infantil: Parvulari";"1";"Garraf";54;1343;1342;1228;1131;97;115;1229;34;2016;2;739;740;1479
"2017/2018";"Educació infantil: Parvulari";"1";"Garrigues";6;192;192;134;134;0;58;134;17;2016;2;72;70;142
"2017/2018";"Educació infantil: Parvulari";"1";"Garrotxa";29;648;648;480;465;15;170;480;24;2016;2;299;293;592
"2017/2018";"Educació infantil: Parvulari";"1";"Gironès";104;2402;2402;2128;2035;93;280;2128;62;2016;2;1123;1132;2255
"2017/2018";"Educació infantil: Parvulari";"1";"Maresme";189;4687;4677;4066;3817;249;612;4076;122;2016;2;2216;2383;4599
"2017/2018";"Educació infantil: Parvulari";"1";"Moianès";6;179;179;93;93;0;86;93;10;2016;2;78;67;145
"2017/2018";"Educació infantil: Parvulari";"1";"Montsià";27;726;726;558;547;11;168;558;21;2016;2;273;315;588
"2017/2018";"Educació infantil: Parvulari";"1";"Noguera";15;396;396;324;323;1;72;324;33;2016;2;191;180;371
"2017/2018";"Educació infantil: Parvulari";"1";"Osona";81;1984;1983;1572;1484;88;411;1573;66;2016;2;801;907;1708
"2017/2018";"Educació infantil: Parvulari";"1";"Pallars Jussà";5;142;142;93;93;0;49;93;7;2016;2;50;62;112
"2017/2018";"Educació infantil: Parvulari";"1";"Pallars Sobirà";2;43;43;37;37;0;6;37;7;2016;2;31;34;65
"2017/2018";"Educació infantil: Parvulari";"1";"Pla d'Urgell";21;519;519;390;367;23;131;390;19;2016;2;201;185;386
"2017/2018";"Educació infantil: Parvulari";"1";"Pla de l'Estany";18;368;368;336;318;18;32;336;12;2016;2;176;196;372
"2017/2018";"Educació infantil: Parvulari";"1";"Priorat";3;154;154;69;69;0;85;69;15;2016;2;38;38;76
"2017/2018";"Educació infantil: Parvulari";"1";"Ribera d'Ebre";10;306;306;160;160;0;146;160;16;2016;2;96;109;205
"2017/2018";"Educació infantil: Parvulari";"1";"Ripollès";9;218;218;154;144;10;64;154;14;2016;2;115;119;234
"2017/2018";"Educació infantil: Parvulari";"1";"Segarra";12;273;273;215;201;14;58;215;12;2016;2;141;136;277
"2017/2018";"Educació infantil: Parvulari";"1";"Segrià";94;2369;2363;1978;1872;106;388;1984;81;2016;2;984;1098;2082
"2017/2018";"Educació infantil: Parvulari";"1";"Selva";71;1727;1724;1444;1379;65;281;1447;45;2016;2;778;905;1683
"2017/2018";"Educació infantil: Parvulari";"1";"Solsonès";6;168;168;112;107;5;56;112;11;2016;2;63;69;132
"2017/2018";"Educació infantil: Parvulari";"1";"Tarragonès";118;2913;2912;2485;2371;114;428;2486;68;2016;2;1262;1408;2670
"2017/2018";"Educació infantil: Parvulari";"1";"Terra Alta";6;196;196;71;71;0;125;71;12;2016;2;48;41;89
"2017/2018";"Educació infantil: Parvulari";"1";"Urgell";20;458;458;361;338;23;97;361;23;2016;2;182;190;372
"2017/2018";"Educació infantil: Parvulari";"1";"Vallès Occidental";400;9879;9876;9095;8629;466;796;9098;239;2016;2;4872;5171;10043
"2017/2018";"Educació infantil: Parvulari";"1";"Vallès Oriental";175;4343;4337;3781;3571;210;562;3787;119;2016;2;2043;2179;4222
"2017/2018";"Educació infantil: Parvulari";"2";"Alt Camp";17;521;111;3;3;0;108;413;26;2016;3;224;242;466
"2017/2018";"Educació infantil: Parvulari";"2";"Alt Empordà";64;1473;135;24;18;6;111;1362;68;2016;3;800;793;1593
"2017/2018";"Educació infantil: Parvulari";"2";"Alt Penedès";56;1239;158;13;12;1;145;1094;47;2016;3;643;681;1324
"2017/2018";"Educació infantil: Parvulari";"2";"Alt Urgell";8;173;15;0;0;0;15;158;12;2016;3;92;92;184
"2017/2018";"Educació infantil: Parvulari";"2";"Alta Ribagorça";1;33;6;1;1;0;5;28;3;2016;3;16;13;29
"2017/2018";"Educació infantil: Parvulari";"2";"Anoia";57;1469;297;17;15;2;281;1189;47;2016;3;636;665;1301
"2017/2018";"Educació infantil: Parvulari";"2";"Aran";2;83;6;2;2;0;4;79;7;2016;3;50;43;93
"2017/2018";"Educació infantil: Parvulari";"2";"Bages";79;1972;319;23;16;7;297;1676;61;2016;3;952;1037;1989
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Camp";87;2166;317;39;29;10;279;1888;61;2016;3;1107;1127;2234
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Ebre";30;865;160;13;7;6;147;718;32;2016;3;350;413;763
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Empordà";58;1318;117;30;26;4;94;1231;44;2016;3;652;731;1383
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Llobregat";318;7946;548;122;92;30;429;7520;207;2016;3;4376;4696;9072
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Penedès";41;1014;102;20;16;4;82;932;29;2016;3;576;632;1208
"2017/2018";"Educació infantil: Parvulari";"2";"Barcelonès";782;19328;1389;363;250;113;1027;18302;469;2016;3;9793;10321;20114
"2017/2018";"Educació infantil: Parvulari";"2";"Berguedà";12;321;68;2;2;0;66;255;20;2016;3;168;194;362
"2017/2018";"Educació infantil: Parvulari";"2";"Cerdanya";5;165;52;4;4;0;48;117;13;2016;3;76;93;169
"2017/2018";"Educació infantil: Parvulari";"2";"Conca de Barberà";8;253;82;3;3;0;79;174;14;2016;3;91;102;193
"2017/2018";"Educació infantil: Parvulari";"2";"Garraf";50;1250;86;21;11;10;66;1185;33;2016;3;765;845;1610
"2017/2018";"Educació infantil: Parvulari";"2";"Garrigues";7;181;56;0;0;0;56;125;17;2016;3;87;97;184
"2017/2018";"Educació infantil: Parvulari";"2";"Garrotxa";25;565;44;11;10;1;35;532;24;2016;3;295;302;597
"2017/2018";"Educació infantil: Parvulari";"2";"Gironès";98;2200;137;52;37;15;97;2115;62;2016;3;1099;1256;2355
"2017/2018";"Educació infantil: Parvulari";"2";"Maresme";182;4516;493;64;53;11;431;4087;119;2016;3;2353;2532;4885
"2017/2018";"Educació infantil: Parvulari";"2";"Moianès";6;167;39;1;1;0;39;129;10;2016;3;66;102;168
"2017/2018";"Educació infantil: Parvulari";"2";"Montsià";24;664;138;8;6;2;130;534;21;2016;3;327;344;671
"2017/2018";"Educació infantil: Parvulari";"2";"Noguera";16;413;72;1;0;1;71;342;33;2016;3;181;226;407
"2017/2018";"Educació infantil: Parvulari";"2";"Osona";71;1844;333;12;12;0;321;1523;66;2016;3;906;974;1880
"2017/2018";"Educació infantil: Parvulari";"2";"Pallars Jussà";5;140;36;2;2;0;35;106;7;2016;3;52;64;116
"2017/2018";"Educació infantil: Parvulari";"2";"Pallars Sobirà";2;60;0;0;0;0;0;60;7;2016;3;28;34;62
"2017/2018";"Educació infantil: Parvulari";"2";"Pla d'Urgell";18;468;79;6;5;1;73;395;19;2016;3;211;224;435
"2017/2018";"Educació infantil: Parvulari";"2";"Pla de l'Estany";15;336;5;0;0;0;5;331;12;2016;3;183;214;397
"2017/2018";"Educació infantil: Parvulari";"2";"Priorat";2;142;80;1;1;0;79;63;15;2016;3;38;29;67
"2017/2018";"Educació infantil: Parvulari";"2";"Ribera d'Ebre";8;295;96;1;1;0;95;200;16;2016;3;105;100;205
"2017/2018";"Educació infantil: Parvulari";"2";"Ripollès";10;225;20;1;1;0;20;206;14;2016;3;111;125;236
"2017/2018";"Educació infantil: Parvulari";"2";"Segarra";11;282;37;6;6;0;31;251;12;2016;3;121;136;257
"2017/2018";"Educació infantil: Parvulari";"2";"Segrià";91;2267;312;32;28;4;280;1987;81;2016;3;1114;1112;2226
"2017/2018";"Educació infantil: Parvulari";"2";"Selva";70;1552;122;23;17;6;101;1453;45;2016;3;887;896;1783
"2017/2018";"Educació infantil: Parvulari";"2";"Solsonès";5;152;26;3;3;0;23;129;11;2016;3;59;60;119
"2017/2018";"Educació infantil: Parvulari";"2";"Tarragonès";109;2630;260;30;21;9;231;2400;67;2016;3;1396;1469;2865
"2017/2018";"Educació infantil: Parvulari";"2";"Terra Alta";3;160;80;2;1;1;78;82;12;2016;3;40;56;96
"2017/2018";"Educació infantil: Parvulari";"2";"Urgell";17;446;83;7;3;4;76;370;23;2016;3;216;195;411
"2017/2018";"Educació infantil: Parvulari";"2";"Vallès Occidental";390;9686;590;181;133;48;421;9277;238;2016;3;5289;5513;10802
"2017/2018";"Educació infantil: Parvulari";"2";"Vallès Oriental";175;4326;448;72;50;22;380;3950;119;2016;3;2152;2403;4555
"2017/2018";"Educació infantil: Parvulari";"3";"Alt Camp";29;555;121;5;5;0;116;439;27;2016;4;276;248;524
"2017/2018";"Educació infantil: Parvulari";"3";"Alt Empordà";88;1559;121;22;15;7;103;1460;68;2016;4;790;826;1616
"2017/2018";"Educació infantil: Parvulari";"3";"Alt Penedès";64;1303;111;21;15;6;92;1213;47;2016;4;679;682;1361
"2017/2018";"Educació infantil: Parvulari";"3";"Alt Urgell";12;210;43;1;1;0;42;168;12;2016;4;99;96;195
"2017/2018";"Educació infantil: Parvulari";"3";"Alta Ribagorça";3;36;8;0;0;0;8;28;3;2016;4;19;24;43
"2017/2018";"Educació infantil: Parvulari";"3";"Anoia";64;1432;272;22;18;4;251;1182;47;2016;4;707;763;1470
"2017/2018";"Educació infantil: Parvulari";"3";"Aran";8;102;17;0;0;0;17;85;7;2016;4;40;41;81
"2017/2018";"Educació infantil: Parvulari";"3";"Bages";85;2029;255;41;37;4;217;1815;61;2016;4;922;1043;1965
"2017/2018";"Educació infantil: Parvulari";"3";"Baix Camp";97;2288;203;33;26;7;177;2118;61;2016;4;1077;1215;2292
"2017/2018";"Educació infantil: Parvulari";"3";"Baix Ebre";41;848;139;11;5;6;128;720;32;2016;4;357;446;803
"2017/2018";"Educació infantil: Parvulari";"3";"Baix Empordà";65;1332;118;15;13;2;109;1229;44;2016;4;676;798;1474
"2017/2018";"Educació infantil: Parvulari";"3";"Baix Llobregat";336;8334;347;103;71;32;256;8090;210;2016;4;4566;4805;9371
"2017/2018";"Educació infantil: Parvulari";"3";"Baix Penedès";49;1194;124;14;9;5;110;1084;29;2016;4;620;683;1303
"2017/2018";"Educació infantil: Parvulari";"3";"Barcelonès";789;19641;887;286;180;106;602;19040;470;2016;4;9842;10391;20233
"2017/2018";"Educació infantil: Parvulari";"3";"Berguedà";22;407;97;5;5;0;92;315;22;2016;4;196;207;403
"2017/2018";"Educació infantil: Parvulari";"3";"Cerdanya";10;169;51;2;2;0;51;120;13;2016;4;96;106;202
"2017/2018";"Educació infantil: Parvulari";"3";"Conca de Barberà";14;257;100;5;5;0;95;162;12;2016;4;92;102;194
"2017/2018";"Educació infantil: Parvulari";"3";"Garraf";55;1363;58;18;13;5;40;1323;34;2016;4;819;838;1657
"2017/2018";"Educació infantil: Parvulari";"3";"Garrigues";16;192;26;1;1;0;25;167;17;2016;4;88;86;174
"2017/2018";"Educació infantil: Parvulari";"3";"Garrotxa";32;588;68;15;14;1;59;535;24;2016;4;334;332;666
"2017/2018";"Educació infantil: Parvulari";"3";"Gironès";104;2318;104;32;24;8;77;2246;62;2016;4;1154;1223;2377
"2017/2018";"Educació infantil: Parvulari";"3";"Maresme";185;4591;384;64;41;23;324;4271;118;2016;4;2443;2634;5077
"2017/2018";"Educació infantil: Parvulari";"3";"Moianès";11;189;44;2;2;0;42;147;10;2016;4;87;73;160
"2017/2018";"Educació infantil: Parvulari";"3";"Montsià";35;769;146;5;5;0;141;628;21;2016;4;365;344;709
"2017/2018";"Educació infantil: Parvulari";"3";"Noguera";32;402;31;2;1;1;29;373;33;2016;4;207;199;406
"2017/2018";"Educació infantil: Parvulari";"3";"Osona";90;1952;284;6;6;0;279;1674;65;2016;4;951;1009;1960
"2017/2018";"Educació infantil: Parvulari";"3";"Pallars Jussà";8;123;13;1;1;0;12;111;7;2016;4;58;66;124
"2017/2018";"Educació infantil: Parvulari";"3";"Pallars Sobirà";6;71;19;0;0;0;19;52;7;2016;4;41;27;68
"2017/2018";"Educació infantil: Parvulari";"3";"Pla d'Urgell";24;484;67;3;0;3;64;420;19;2016;4;199;237;436
"2017/2018";"Educació infantil: Parvulari";"3";"Pla de l'Estany";18;358;6;4;2;2;2;356;12;2016;4;184;185;369
"2017/2018";"Educació infantil: Parvulari";"3";"Priorat";11;149;83;0;0;0;83;66;15;2016;4;37;52;89
"2017/2018";"Educació infantil: Parvulari";"3";"Ribera d'Ebre";19;324;126;1;1;0;125;199;16;2016;4;84;116;200
"2017/2018";"Educació infantil: Parvulari";"3";"Ripollès";15;241;20;4;4;0;20;225;14;2016;4;126;122;248
"2017/2018";"Educació infantil: Parvulari";"3";"Segarra";15;269;40;5;5;0;35;234;12;2016;4;129;124;253
"2017/2018";"Educació infantil: Parvulari";"3";"Segrià";115;2387;293;24;17;7;269;2118;81;2016;4;1114;1197;2311
"2017/2018";"Educació infantil: Parvulari";"3";"Selva";75;1658;117;11;7;4;110;1552;45;2016;4;917;973;1890
"2017/2018";"Educació infantil: Parvulari";"3";"Solsonès";11;156;26;2;1;1;24;132;11;2016;4;74;77;151
"2017/2018";"Educació infantil: Parvulari";"3";"Tarragonès";120;2958;393;44;35;9;351;2609;68;2016;4;1409;1477;2886
"2017/2018";"Educació infantil: Parvulari";"3";"Terra Alta";10;137;50;0;0;0;50;87;12;2016;4;37;53;90
"2017/2018";"Educació infantil: Parvulari";"3";"Urgell";24;447;46;8;6;2;38;409;23;2016;4;188;205;393
"2017/2018";"Educació infantil: Parvulari";"3";"Vallès Occidental";401;9983;424;107;66;41;330;9666;237;2016;4;5498;5704;11202
"2017/2018";"Educació infantil: Parvulari";"3";"Vallès Oriental";188;4605;415;54;44;10;365;4244;119;2016;4;2342;2530;4872
"2017/2018";"Educació primària";"1";"Alt Camp";19;572;80;3;1;2;77;495;27;2016;5;246;283;529
"2017/2018";"Educació primària";"1";"Alt Empordà";68;1618;140;25;23;2;117;1503;68;2016;5;796;825;1621
"2017/2018";"Educació primària";"1";"Alt Penedès";56;1333;98;29;27;2;69;1264;47;2016;5;711;760;1471
"2017/2018";"Educació primària";"1";"Alt Urgell";7;203;17;1;0;1;16;187;13;2016;5;107;98;205
"2017/2018";"Educació primària";"1";"Alta Ribagorça";2;63;17;0;0;0;17;46;3;2016;5;15;27;42
"2017/2018";"Educació primària";"1";"Anoia";59;1524;213;22;18;4;192;1333;47;2016;5;737;816;1553
"2017/2018";"Educació primària";"1";"Aran";2;80;3;0;0;0;3;77;7;2016;5;50;53;103
"2017/2018";"Educació primària";"1";"Bages";80;2001;212;39;32;7;177;1828;61;2016;5;1023;1088;2111
"2017/2018";"Educació primària";"1";"Baix Camp";92;2386;298;49;39;10;255;2137;62;2016;5;1142;1219;2361
"2017/2018";"Educació primària";"1";"Baix Ebre";32;895;138;16;10;6;122;773;32;2016;5;383;429;812
"2017/2018";"Educació primària";"1";"Baix Empordà";61;1409;69;25;22;3;51;1365;44;2016;5;805;841;1646
"2017/2018";"Educació primària";"1";"Baix Llobregat";345;8605;388;122;84;38;269;8339;210;2016;5;4758;5087;9845
"2017/2018";"Educació primària";"1";"Baix Penedès";49;1264;125;26;21;5;99;1165;29;2016;5;639;652;1291
"2017/2018";"Educació primària";"1";"Barcelonès";801;20014;1442;754;674;80;694;19326;475;2016;5;9803;10521;20324
"2017/2018";"Educació primària";"1";"Berguedà";15;433;80;5;5;0;75;358;23;2016;5;175;201;376
"2017/2018";"Educació primària";"1";"Cerdanya";6;188;51;5;4;1;47;142;13;2016;5;89;99;188
"2017/2018";"Educació primària";"1";"Conca de Barberà";8;250;59;4;4;0;55;195;14;2016;5;98;88;186
"2017/2018";"Educació primària";"1";"Garraf";59;1475;80;28;21;7;54;1423;34;2016;5;812;918;1730
"2017/2018";"Educació primària";"1";"Garrigues";7;189;27;1;1;0;26;163;17;2016;5;85;101;186
"2017/2018";"Educació primària";"1";"Garrotxa";25;595;25;20;17;3;6;590;23;2016;5;327;311;638
"2017/2018";"Educació primària";"1";"Gironès";100;2294;151;70;65;5;86;2213;61;2016;5;1198;1338;2536
"2017/2018";"Educació primària";"1";"Maresme";189;4712;242;104;86;18;147;4574;121;2016;5;2614;2733;5347
"2017/2018";"Educació primària";"1";"Moianès";6;176;43;2;2;0;41;135;10;2016;5;77;83;160
"2017/2018";"Educació primària";"1";"Montsià";29;778;112;8;7;1;104;674;21;2016;5;317;381;698
"2017/2018";"Educació primària";"1";"Noguera";16;433;65;3;3;0;62;371;33;2016;5;214;229;443
"2017/2018";"Educació primària";"1";"Osona";81;2033;241;21;17;4;222;1813;66;2016;5;999;962;1961
"2017/2018";"Educació primària";"1";"Pallars Jussà";5;144;32;1;1;0;31;113;7;2016;5;49;62;111
"2017/2018";"Educació primària";"1";"Pallars Sobirà";3;83;20;0;0;0;20;63;7;2016;5;30;32;62
"2017/2018";"Educació primària";"1";"Pla d'Urgell";19;479;71;2;1;1;69;410;19;2016;5;233;209;442
"2017/2018";"Educació primària";"1";"Pla de l'Estany";16;351;41;24;24;0;17;334;13;2016;5;204;254;458
"2017/2018";"Educació primària";"1";"Priorat";2;114;41;1;1;0;40;74;15;2016;5;43;43;86
"2017/2018";"Educació primària";"1";"Ribera d'Ebre";7;280;77;2;2;0;75;205;16;2016;5;105;96;201
"2017/2018";"Educació primària";"1";"Ripollès";11;263;30;3;3;0;27;236;14;2016;5;129;117;246
"2017/2018";"Educació primària";"1";"Segarra";10;272;38;7;5;2;33;241;12;2016;5;125;155;280
"2017/2018";"Educació primària";"1";"Segrià";99;2532;320;51;45;6;269;2263;82;2016;5;1138;1254;2392
"2017/2018";"Educació primària";"1";"Selva";76;1765;153;43;37;6;115;1655;45;2016;5;977;953;1930
"2017/2018";"Educació primària";"1";"Solsonès";5;154;15;2;0;2;13;141;11;2016;5;73;65;138
"2017/2018";"Educació primària";"1";"Tarragonès";118;2976;357;88;78;10;269;2707;68;2016;5;1526;1639;3165
"2017/2018";"Educació primària";"1";"Terra Alta";3;153;64;0;0;0;64;89;12;2016;5;64;51;115
"2017/2018";"Educació primària";"1";"Urgell";16;444;68;10;6;4;59;386;23;2016;5;215;216;431
"2017/2018";"Educació primària";"1";"Vallès Occidental";415;10357;393;209;182;27;213;10173;238;2016;5;5348;5909;11257
"2017/2018";"Educació primària";"1";"Vallès Oriental";194;4871;345;65;47;18;287;4591;119;2016;5;2408;2519;4927
"2017/2018";"Educació primària";"2";"Alt Camp";21;570;87;2;2;0;85;485;27;2016;6;228;270;498
"2017/2018";"Educació primària";"2";"Alt Empordà";71;1629;111;15;13;2;98;1533;68;2016;6;804;887;1691
"2017/2018";"Educació primària";"2";"Alt Penedès";65;1470;106;11;11;0;95;1375;47;2016;6;682;664;1346
"2017/2018";"Educació primària";"2";"Alt Urgell";10;203;23;1;1;0;22;181;13;2016;6;86;100;186
"2017/2018";"Educació primària";"2";"Alta Ribagorça";2;37;8;0;0;0;8;29;3;2016;6;15;13;28
"2017/2018";"Educació primària";"2";"Anoia";64;1538;140;20;13;7;121;1418;47;2016;6;731;784;1515
"2017/2018";"Educació primària";"2";"Aran";6;108;14;0;0;0;14;94;7;2016;6;50;56;106
"2017/2018";"Educació primària";"2";"Bages";85;2077;189;22;21;1;171;1910;60;2016;6;1000;1080;2080
"2017/2018";"Educació primària";"2";"Baix Camp";97;2409;227;31;25;6;202;2213;62;2016;6;1180;1292;2472
"2017/2018";"Educació primària";"2";"Baix Ebre";37;942;155;4;3;1;151;791;32;2016;6;418;446;864
"2017/2018";"Educació primària";"2";"Baix Empordà";67;1460;32;11;10;1;27;1439;44;2016;6;703;822;1525
"2017/2018";"Educació primària";"2";"Baix Llobregat";360;8998;313;68;50;18;250;8753;210;2016;6;4797;5186;9983
"2017/2018";"Educació primària";"2";"Baix Penedès";51;1257;108;9;6;3;99;1158;29;2016;6;646;632;1278
"2017/2018";"Educació primària";"2";"Barcelonès";793;19734;740;253;161;92;487;19247;469;2016;6;9822;10664;20486
"2017/2018";"Educació primària";"2";"Berguedà";20;442;99;7;6;1;92;350;23;2016;6;195;193;388
"2017/2018";"Educació primària";"2";"Cerdanya";7;182;32;0;0;0;32;150;13;2016;6;101;93;194
"2017/2018";"Educació primària";"2";"Conca de Barberà";11;273;88;0;0;0;88;185;14;2016;6;109;92;201
"2017/2018";"Educació primària";"2";"Garraf";60;1488;79;24;18;6;57;1433;34;2016;6;794;911;1705
"2017/2018";"Educació primària";"2";"Garrigues";8;196;26;1;1;0;25;171;17;2016;6;85;104;189
"2017/2018";"Educació primària";"2";"Garrotxa";28;595;23;4;4;0;20;576;23;2016;6;287;325;612
"2017/2018";"Educació primària";"2";"Gironès";103;2348;44;13;8;5;34;2317;60;2016;6;1185;1311;2496
"2017/2018";"Educació primària";"2";"Maresme";197;4935;198;71;52;19;145;4808;121;2016;6;2619;2737;5356
"2017/2018";"Educació primària";"2";"Moianès";7;184;42;3;1;2;39;145;9;2016;6;75;79;154
"2017/2018";"Educació primària";"2";"Montsià";33;826;157;8;8;0;149;677;21;2016;6;362;379;741
"2017/2018";"Educació primària";"2";"Noguera";16;432;38;2;1;1;36;396;33;2016;6;203;245;448
"2017/2018";"Educació primària";"2";"Osona";84;2054;232;20;19;1;212;1842;66;2016;6;903;1059;1962
"2017/2018";"Educació primària";"2";"Pallars Jussà";6;141;21;0;0;0;21;120;7;2016;6;60;57;117
"2017/2018";"Educació primària";"2";"Pallars Sobirà";4;81;21;0;0;0;21;60;7;2016;6;29;49;78
"2017/2018";"Educació primària";"2";"Pla d'Urgell";23;488;66;2;0;2;64;424;19;2016;6;222;238;460
"2017/2018";"Educació primària";"2";"Pla de l'Estany";21;434;9;4;3;1;5;429;13;2016;6;212;229;441
"2017/2018";"Educació primària";"2";"Priorat";3;113;29;0;0;0;29;84;15;2016;6;35;41;76
"2017/2018";"Educació primària";"2";"Ribera d'Ebre";12;275;60;1;1;0;59;216;16;2016;6;85;111;196
"2017/2018";"Educació primària";"2";"Ripollès";11;261;39;6;6;0;35;228;14;2016;6;117;135;252
"2017/2018";"Educació primària";"2";"Segarra";13;283;26;2;1;1;24;259;12;2016;6;146;147;293
"2017/2018";"Educació primària";"2";"Segrià";111;2684;355;32;25;7;323;2361;82;2016;6;1189;1240;2429
"2017/2018";"Educació primària";"2";"Selva";74;1736;63;7;5;2;58;1680;45;2016;6;965;1026;1991
"2017/2018";"Educació primària";"2";"Solsonès";6;154;24;3;3;0;21;133;11;2016;6;63;66;129
"2017/2018";"Educació primària";"2";"Tarragonès";125;3112;228;40;24;16;188;2924;67;2016;6;1498;1599;3097
"2017/2018";"Educació primària";"2";"Terra Alta";8;174;65;1;1;0;64;110;12;2016;6;54;57;111
"2017/2018";"Educació primària";"2";"Urgell";20;461;52;2;2;0;50;411;23;2016;6;191;247;438
"2017/2018";"Educació primària";"2";"Vallès Occidental";412;10284;255;71;48;23;198;10100;238;2016;6;5610;6066;11676
"2017/2018";"Educació primària";"2";"Vallès Oriental";195;4832;313;60;52;8;258;4579;119;2016;6;2442;2673;5115
"2017/2018";"Educació primària";"3";"Alt Camp";26;553;72;6;3;3;66;487;27;2016;7;275;276;551
"2017/2018";"Educació primària";"3";"Alt Empordà";78;1656;64;10;5;5;56;1602;68;2016;7;849;884;1733
"2017/2018";"Educació primària";"3";"Alt Penedès";60;1353;107;7;7;0;100;1253;47;2016;7;724;732;1456
"2017/2018";"Educació primària";"3";"Alt Urgell";9;234;55;2;2;0;53;181;13;2016;7;117;111;228
"2017/2018";"Educació primària";"3";"Alta Ribagorça";2;35;8;0;0;0;8;27;3;2016;7;22;26;48
"2017/2018";"Educació primària";"3";"Anoia";63;1537;160;19;18;1;143;1396;47;2016;7;776;882;1658
"2017/2018";"Educació primària";"3";"Aran";5;114;18;2;2;0;16;98;7;2016;7;47;49;96
"2017/2018";"Educació primària";"3";"Bages";89;2183;280;42;35;7;240;1945;61;2016;7;1012;1081;2093
"2017/2018";"Educació primària";"3";"Baix Camp";97;2438;207;31;20;11;184;2262;62;2016;7;1217;1316;2533
"2017/2018";"Educació primària";"3";"Baix Ebre";41;956;142;10;5;5;133;824;32;2016;7;396;447;843
"2017/2018";"Educació primària";"3";"Baix Empordà";62;1425;53;15;13;2;45;1387;44;2016;7;827;836;1663
"2017/2018";"Educació primària";"3";"Baix Llobregat";364;9090;348;102;76;26;257;8844;210;2016;7;5095;5193;10288
"2017/2018";"Educació primària";"3";"Baix Penedès";55;1354;185;29;27;2;156;1198;29;2016;7;693;645;1338
"2017/2018";"Educació primària";"3";"Barcelonès";803;20043;870;310;215;95;560;19483;475;2016;7;10354;11110;21464
"2017/2018";"Educació primària";"3";"Berguedà";17;407;53;2;2;0;51;356;22;2016;7;186;209;395
"2017/2018";"Educació primària";"3";"Cerdanya";8;184;43;4;4;0;39;145;13;2016;7;103;105;208
"2017/2018";"Educació primària";"3";"Conca de Barberà";10;265;66;3;3;0;65;202;14;2016;7;112;111;223
"2017/2018";"Educació primària";"3";"Garraf";61;1519;73;14;10;4;61;1460;34;2016;7;896;988;1884
"2017/2018";"Educació primària";"3";"Garrigues";9;204;30;1;1;0;29;175;17;2016;7;83;94;177
"2017/2018";"Educació primària";"3";"Garrotxa";31;609;46;3;3;0;43;566;23;2016;7;308;337;645
"2017/2018";"Educació primària";"3";"Gironès";105;2438;109;25;17;8;89;2354;61;2016;7;1255;1336;2591
"2017/2018";"Educació primària";"3";"Maresme";206;5129;303;74;65;9;239;4900;121;2016;7;2699;2889;5588
